 0 1
0 000 0.9333
1 001 0.9028
2 002 0.925
3 003 0.9139
4 004 0.9167
5 010 0.0861
6 011 0.0417
7 012 0.075
8 013 0.0278
9 014 0.0472
10 020 0.3194
11 021 0.2972
12 022 0.2917
13 023 0.2889
14 024 0.2861
15 100 0.0083
16 101 0.0056
17 102 0.0139
18 103 0.0083
19 104 0.0194
20 110 0.8833
21 111 0.8639
22 112 0.8694
23 113 0.8694
24 114 0.9139
25 120 0.0556
26 121 0.0917
27 122 0.05
28 123 0.0694
29 124 0.0833
30 200 0.3528
31 201 0.3972
32 202 0.35
33 203 0.4056
34 204 0.3667
35 210 0.1917
36 211 0.1833
37 212 0.1722
38 213 0.1972
39 214 0.1694
40 220 0.6611
41 221 0.6944
42 222 0.6278
43 223 0.6417
44 224 0.6583
