 0 1
0 000 0.9556
1 001 0.9694
2 002 0.9694
3 003 0.9833
4 004 0.9806
5 010 0.9139
6 011 0.9278
7 012 0.9306
8 013 0.9306
9 014 0.9389
10 020 0.8528
11 021 0.8833
12 022 0.8806
13 023 0.8639
14 024 0.8778
15 100 0.9333
16 101 0.9278
17 102 0.9389
18 103 0.9528
19 104 0.9556
20 110 0.9778
21 111 0.9778
22 112 0.9861
23 113 0.9889
24 114 0.9694
25 120 0.7417
26 121 0.7333
27 122 0.7361
28 123 0.75
29 124 0.75
30 200 0.8083
31 201 0.7944
32 202 0.8139
33 203 0.7861
34 204 0.8111
35 210 0.6889
36 211 0.7083
37 212 0.6944
38 213 0.7083
39 214 0.6889
40 220 0.8889
41 221 0.9194
42 222 0.9361
43 223 0.9472
44 224 0.9194
